id,title,pricePerServing,weightPerServing,vegetarian,vegan,glutenFree,dairyFree,sustainable,veryHealthy,veryPopular,gaps,lowFodmap,ketogenic,whole30,readyInMinutes,spoonacularSourceUrl,image,aggregateLikes,spoonacularScore,healthScore,percentProtein,percentFat,percentCarbs,dishTypes,ingredients,cuisines,calories,Fat,Saturated_Fat,Carbohydrates/g,Sugar,Cholesterol,Sodium,Protein,Vitamin_B3,Selenium,Phosphorus,Iron_mg,Vitamin_B2,Calcium,Vitamin_B1,Folate,Potassium,Copper,Zinc,Manganese,Magnesium,Vitamin_B12,Vitamin_B5,Vitamin_B6,Vitamin_E,Fiber,Vitamin_A,Vitamin_D,Vitamin_K,Vitamin_C,Alcohol,Caffeine,URL,Instructions,formatted_instructions,preprocessed_title,preprocessed_ingredients,ingredient_count,difficulty_level,flavor_profile,combined_features
1,Fried Anchovies with Sage,5.6051,226,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/fried-anchovies-with-sage-1,https://spoonacular.com/recipeImages/1-556x370.jpg,1354,75,29,39.64,25.43,34.93,Maindish,"anchovies, vegetable oil, baking powder, salt, seltzer water, egg, flour, sage leaves",American,384.09,10.53,3.6,32.53,0.17,145.28,955.48,36.92,23.67,73.82,428.72,7.22,0.66,295.1,0.42,96.75,778.81,0.43,3.09,0.4,73.36,1.07,1.38,0.26,1.09,1.16,154.8,0.29,0,0,0,0,https://spoonacular.com/fried-anchovies-with-sage-1,"If you have not tried anchovies before - you must try them now! Get over any weird apprehensions or that its just bait or a punchline for a joke about pizza (""extra anchovies"")! These little suckers are delicious & actually good for you!
Baked, fried & grilled - they are ohh so good and worth a try. If your not up to it, then pass me your plate because I love'em!Here is my favorite - Fried Anchovies - the recipe below adds a sage leave to each piece of fish as well for an extra burst of flavor & color.Fried Anchovies with Sage
Acciughe fritte con Salvia1lb of anchovies cleaned, spine removedsage leaves (optional - if you are not a fan of sage just omit)batter1 cup of flour1 egg1 teaspoon of salt1 teaspoon of baking powderseltzer watervegetable oil for frying
In a bowl combine flour, eggs, salt & baking powder. Slowly add in seltzer water & mix until forms a thin batter. Cover with plastic & set in the fridge for at least an hour.
Heat oil in a pot to 350 degree.
Remove batter from fridge and mix once or twice (batter will have separated).Take a sage leaf & anchovy put them together & dip into the batter - allowing access batter to drip off.Fry 20 seconds a side until golden brown.
Remove from oil & drain on a paper towel.Sprinkle with salt & serve immediately.Pairs great with prosecco or white wine.","1) If you have not tried anchovies before - you must try them now!
2) Get over any weird apprehensions or that its just bait or a punchline for a joke about pizza (""extra anchovies"")!
3) These little suckers are delicious & actually good for you!
4) Baked, fried & grilled - they are ohh so good and worth a try.
5) If your not up to it, then pass me your plate because I love'em!Here is my favorite - Fried Anchovies - the recipe below adds a sage leave to each piece of fish as well for an extra burst of flavor & color.
6) Fried Anchovies with Sage
Acciughe fritte con Salvia1lb of anchovies cleaned, spine removedsage leaves (optional - if you are not a fan of sage just omit)batter1 cup of flour1 egg1 teaspoon of salt1 teaspoon of baking powderseltzer watervegetable oil for frying
In a bowl combine flour, eggs, salt & baking powder.
7) Slowly add in seltzer water & mix until forms a thin batter.
8) Cover with plastic & set in the fridge for at least an hour.
9) Heat oil in a pot to 350 degree.
10) Remove batter from fridge and mix once or twice (batter will have separated).Take a sage leaf & anchovy put them together & dip into the batter - allowing access batter to drip off.
11) Fry 20 seconds a side until golden brown.
12) Remove from oil & drain on a paper towel.
13) Sprinkle with salt & serve immediately.
14) Pairs great with prosecco or white wine.",fried anchovy sage,anchovy vegetable oil baking powder salt seltzer water egg flour sage leaf,8,Easy,Buttery,fried anchovy sage anchovy vegetable oil baking powder salt seltzer water egg flour sage leaf
2,Anchovies Appetizer With Breadcrumbs & Scallions,0.8206,33,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,15,https://spoonacular.com/anchovies-appetizer-with-breadcrumbs-scallions-2,https://spoonacular.com/recipeImages/2-556x370.jpg,1535,32,4,36.52,36.52,26.96,Starter,"anchovies, scallions, bread, garlic clove, olive oil",American,57.07,2.28,0.47,3.79,0.5,12.76,59.43,5.13,3.42,9.85,49.24,0.99,0.08,43.55,0.05,9.86,103.37,0.06,0.46,0.11,12.62,0.13,0.2,0.04,0.29,0.38,0,0,7.18,0,0,0,https://spoonacular.com/anchovies-appetizer-with-breadcrumbs-scallions-2,"Preheat oven to 400 F.
Remove crusts from bread and cut into bite-sized croutons.
Rub garlic in bottom of a small oven-safe skillet, add 2 teaspoons olive oil.
Rub croutons in oil until they absorb it all.
Bake for 7-10 minutes or until deep golden brown.
Remove and set aside.
Slice anchovies in thirds.
Toss with scallions.
Divide into small cups, ramekins or bowls between 4 and 8 ounces and nestle in the croutons.","1) Preheat oven to 400 F.
Remove crusts from bread and cut into bite-sized croutons.
2) Rub garlic in bottom of a small oven-safe skillet, add 2 teaspoons olive oil.
3) Rub croutons in oil until they absorb it all.
4) Bake for 7-10 minutes or until deep golden brown.
5) Remove and set aside.
6) Slice anchovies in thirds.
7) Toss with scallions.
8) Divide into small cups, ramekins or bowls between 4 and 8 ounces and nestle in the croutons.",anchovy appetizer breadcrumb scallion,anchovy scallion bread garlic clove olive oil,5,Easy,Salty,anchovy appetizer breadcrumb scallion anchovy scallion bread garlic clove olive oil
3,"Carrots, Cauliflower And Anchovies",4.38,364,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/carrots-cauliflower-and-anchovies-3,https://spoonacular.com/recipeImages/3-556x370.jpg,1535,83,63,6.74,66.86,26.4,Maindish,"anchovies, extra virgin olive oil, lemon juice, extra-virgin olive oil, cauliflower, carrots, salt and pepper, rocket, almonds, acini di pepe",American,942.08,72.72,9,64.61,11.09,1.92,296.97,16.51,2.86,2.24,223.51,4.49,0.43,207.76,0.18,96.54,848.6,0.41,1.53,1.03,122.71,0,0.78,0.27,17.01,9.99,21572.42,0,104.27,32.6,0,0,https://spoonacular.com/carrots-cauliflower-and-anchovies-3,Detailed instructions can be found here: http://saladpride.blogspot.com/2011/06/carrots-cauliflower-and-anchovies.html,1) Detailed instructions can be found here: http://saladpride.blogspot.com/2011/06/carrots-cauliflower-and-anchovies.html,carrot cauliflower anchovy,anchovy extra virgin olive oil lemon juice extra virgin olive oil cauliflower carrot salt pepper rocket almond acinus di pepe,10,Intermediate,Salty,carrot cauliflower anchovy anchovy extra virgin olive oil lemon juice extra virgin olive oil cauliflower carrot salt pepper rocket almond acinus di pepe
4,Bap Story: Stir Fried Anchovies (Myulchi Bokkeum),8.1122,711,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/bap-story-stir-fried-anchovies-myulchi-bokkeum-4,https://spoonacular.com/recipeImages/4-556x370.jpg,4245,94,70,29.89,64.41,5.7,Maindish,"anchovies, frying oil, ground ginger, plum, sesame seeds, sugar, rice syrup, baby-back ribs, garlic, pine nuts, cooking oil, sprinkle",American,1697.23,122.21,36.39,24.3,14.09,436.23,583.67,127.61,50.14,207.74,1139.83,9.35,1.99,406.7,2.76,19.75,1875.89,1.22,17.27,2.3,187.05,3.64,5.24,2.73,5.23,2.1,180.52,6.24,16.02,3.88,0,0,https://spoonacular.com/bap-story-stir-fried-anchovies-myulchi-bokkeum-4,Detailed instructions can be found here: http://bapstory.blogspot.com/2011/08/stir-fried-anchovies-myulchi-bokkeum.html,1) Detailed instructions can be found here: http://bapstory.blogspot.com/2011/08/stir-fried-anchovies-myulchi-bokkeum.html,bap story stir fried anchovy myulchi bokkeum,anchovy frying oil ground ginger plum sesame seed sugar rice syrup baby back rib garlic pine nut cooking oil sprinkle,14,Hard,Buttery,bap story stir fried anchovy myulchi bokkeum anchovy frying oil ground ginger plum sesame seed sugar rice syrup baby back rib garlic pine nut cooking oil sprinkle
5,"Bread, Butter And Anchovies",0.2557,36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,3,https://spoonacular.com/bread-butter-and-anchovies-5,https://spoonacular.com/recipeImages/5-556x370.jpg,420,14,1,11.01,39.96,49.03,Maindish,"salted anchovies, capers, bread, unsalted butter",American,112.75,5.05,2.8,13.95,1.71,10.75,276.25,3.13,1.68,8.14,44.24,1.02,0.08,40.64,0.13,24.41,52.96,0.05,0.34,0.34,13.64,0,0.24,0.03,0.19,1.24,128.27,0,2.21,0,0,0,https://spoonacular.com/bread-butter-and-anchovies-5,"Slice bread into 1cm thick slices: you can toast them or use them as they are. I prefer a soft bread to exalt butter softness.
Spread butter with generosity over the bread.If you want to use salted anchovies, rinse them under running water to remove extra salt and divide them into fillets, removing all the bones. If you use anchovies in oil, just make two fillets out of them and lay them over buttered bread.And now, the final touch: a pickled baby caper in the centre, and - in less than 3 minutes - you have an unusual afternoon break or a fun anti-crisis and anti-panic appetizer for Christmas.","1) Slice bread into 1cm thick slices: you can toast them or use them as they are.
2) I prefer a soft bread to exalt butter softness.
3) Spread butter with generosity over the bread.
4) If you want to use salted anchovies, rinse them under running water to remove extra salt and divide them into fillets, removing all the bones.
5) If you use anchovies in oil, just make two fillets out of them and lay them over buttered bread.
6) And now, the final touch: a pickled baby caper in the centre, and - in less than 3 minutes - you have an unusual afternoon break or a fun anti-crisis and anti-panic appetizer for Christmas.",bread butter anchovy,salted anchovy caper bread unsalted butter,4,Hard,Buttery,bread butter anchovy salted anchovy caper bread unsalted butter
7,"Tomato & Anchovies With Bread Crumbs, Basil & Red Onion   Recip",0.8603,101,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/tomato-anchovies-with-bread-crumbs-basil-red-onion-recip-7,https://spoonacular.com/recipeImages/7-556x370.jpg,322,69,14,12.37,57.91,29.72,Starter,"sherry vinegar, extra virgin olive oil, anchovy, basil leaves, tomato, bread crumbs, pepper, red onion",American,142.07,9.24,1.4,10.67,2.63,7.2,89.34,4.44,2.69,6.98,55.13,1.14,0.09,46.59,0.13,23.05,218.36,0.09,0.48,0.2,17.32,0.11,0.2,0.09,1.53,1.37,498.84,0,13.29,8.57,0,0,https://spoonacular.com/tomato-anchovies-with-bread-crumbs-basil-red-onion-recip-7,Detailed instructions can be found here: http://www.thekitchn.com/tomato-and-anchovies-with-breadcrumbs-63500,1) Detailed instructions can be found here: http://www.thekitchn.com/tomato-and-anchovies-with-breadcrumbs-63500,tomato anchovy bread crumb basil red onion recip,sherry vinegar extra virgin olive oil anchovy basil leaf tomato bread crumb pepper red onion,8,Easy,Spicy,tomato anchovy bread crumb basil red onion recip sherry vinegar extra virgin olive oil anchovy basil leaf tomato bread crumb pepper red onion
10,Marinated Boquerones,4.1332,203,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,no,FALSE,TRUE,TRUE,45,https://spoonacular.com/marinated-boquerones-10,https://spoonacular.com/recipeImages/10-556x370.jpg,31,95,82,27.56,62.99,9.45,Sidedish,"fresh thyme, sherry vinegar, fresh anchovies, bell pepper, chillies, extra-virgin olive oil, juice of lemon, garlic cloves, fresh parsley, coarse sea salt",American,265.68,18.35,3.04,6.19,3.69,50,287.85,18.06,12.59,30.61,173.13,3.68,0.29,140.54,0.1,51.04,540.94,0.21,1.71,0.19,49.36,0.52,0.82,0.39,3.75,1.97,2830.48,0,78.82,114.99,0,0,https://spoonacular.com/marinated-boquerones-10,Detailed instructions can be found here: http://www.deliciousdays.com/archives/2006/07/23/boqueroneshave-no-fear/,1) Detailed instructions can be found here: http://www.deliciousdays.com/archives/2006/07/23/boqueroneshave-no-fear/,marinated boquerones,fresh thyme sherry vinegar fresh anchovy bell pepper chilli extra virgin olive oil juice lemon garlic clove fresh parsley coarse sea salt,10,Intermediate,Spicy,marinated boquerones fresh thyme sherry vinegar fresh anchovy bell pepper chilli extra virgin olive oil juice lemon garlic clove fresh parsley coarse sea salt
11,Spaghetti With Walnuts And Anchovies,0.9284,144,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,12,https://spoonacular.com/spaghetti-with-walnuts-and-anchovies-11,https://spoonacular.com/recipeImages/11-556x370.jpg,424,96,45,14.07,25.16,60.77,Maindish,"pecorino, spaghetti, walnuts, garlic cloves",American,581.03,16.3,2.9,88.56,3.61,8.67,107.69,20.51,2.17,74.23,347.64,2.14,0.13,136.43,0.18,39.61,355.42,0.64,2.43,1.74,94.13,0.09,0.65,0.31,0.28,4.96,0,0,0,1.18,0,0,https://spoonacular.com/spaghetti-with-walnuts-and-anchovies-11,Detailed instructions can be found here: http://framed-mylifeonepictureatatime.blogspot.com/2011/10/spaghetti-with-walnuts-and-anchovies.html,1) Detailed instructions can be found here: http://framed-mylifeonepictureatatime.blogspot.com/2011/10/spaghetti-with-walnuts-and-anchovies.html,spaghetti walnut anchovy,pecorino spaghetti walnut garlic clove,4,Hard,Salty,spaghetti walnut anchovy pecorino spaghetti walnut garlic clove
12,Roasted Peppers with Boquerones,0.5844,88,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,no,TRUE,FALSE,FALSE,4500,https://spoonacular.com/roasted-peppers-with-boquerones-12,https://spoonacular.com/recipeImages/12-556x370.jpg,1535,81,48,20.59,12.53,66.88,Maindish,"boquerones, red bell peppers, sherry vinegar, sugar",American,32.19,0.44,0.07,5.28,3.78,2.4,7.54,1.63,1.36,1.54,28.38,0.49,0.08,11.7,0.05,38.08,188.83,0.02,0.27,0.1,11.53,0,0.29,0.24,1.32,1.72,2569.42,0,4.02,104.72,0,0,https://spoonacular.com/roasted-peppers-with-boquerones-12,"Preheat broiler.
Broil bell peppers on a broiler pan about 5 inches from heat, turning occasionally with tongs, until skins are blackened, 15 to 20 minutes.
Transfer to a large bowl and cover bowl tightly with plastic wrap, then let steam 20 minutes.
When peppers are cool enough to handle, peel them, reserving all juices in bowl, and discard stems and seeds.
Cut peppers lengthwise into 1/4-inch-wide strips.
Pour pepper juices through a sieve into another bowl, then add vinegar and sugar to juices, stirring until sugar is dissolved, then stir in peppers. Marinate peppers at room temperature, stirring occasionally, at least 2 hours.
Spoon peppers and juices into a shallow bowl and arrange anchovy strips decoratively on top.","1) Preheat broiler.
2) Broil bell peppers on a broiler pan about 5 inches from heat, turning occasionally with tongs, until skins are blackened, 15 to 20 minutes.
3) Transfer to a large bowl and cover bowl tightly with plastic wrap, then let steam 20 minutes.
4) When peppers are cool enough to handle, peel them, reserving all juices in bowl, and discard stems and seeds.
5) Cut peppers lengthwise into 1/4-inch-wide strips.
6) Pour pepper juices through a sieve into another bowl, then add vinegar and sugar to juices, stirring until sugar is dissolved, then stir in peppers.
7) Marinate peppers at room temperature, stirring occasionally, at least 2 hours.
8) Spoon peppers and juices into a shallow bowl and arrange anchovy strips decoratively on top.",roasted pepper boquerones,boquerones red bell pepper sherry vinegar sugar,4,Hard,Sugary,roasted pepper boquerones boquerones red bell pepper sherry vinegar sugar
13,"Anchovies, Tomatoes And Green Beans Couscous",7.333,941,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/anchovies-tomatoes-and-green-beans-couscous-13,https://spoonacular.com/recipeImages/13-556x370.jpg,332,89,100,13.78,27.37,58.85,Maindish,"anchovies, balsamic vinegar, extra virgin olive oil, basil, bell pepper, green beans, salt, extra-virgin olive oil, anchovies in extra virgin olive oil, cherry tomatoes, couscous, tomatoes, vegetarian bacon, salad mix",American,1093.72,33.47,4.96,161.94,21.5,26.22,1319.18,37.92,16.39,22.95,567.56,7.95,0.58,234.99,0.73,198.58,1987.86,0.96,3.44,2.3,190.94,0.31,3.42,1.06,9.18,17.86,6792.82,0.48,83.97,205.25,0,0,https://spoonacular.com/anchovies-tomatoes-and-green-beans-couscous-13,Detailed instructions can be found here: http://saladpride.blogspot.com/2011/05/cousous-anchovies-and-green-beans.html,1) Detailed instructions can be found here: http://saladpride.blogspot.com/2011/05/cousous-anchovies-and-green-beans.html,anchovy tomato green bean couscous,anchovy balsamic vinegar extra virgin olive oil basil bell pepper green bean salt extra virgin olive oil anchovy extra virgin olive oil cherry tomato couscous tomato vegetarian bacon salad mix,18,Hard,Spicy,anchovy tomato green bean couscous anchovy balsamic vinegar extra virgin olive oil basil bell pepper green bean salt extra virgin olive oil anchovy extra virgin olive oil cherry tomato couscous tomato vegetarian bacon salad mix
